person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,pd
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.014260016384229421
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.58114286314718
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.6429910393979619
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.011794799998650221
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.009738596490019494
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.3522717614638756
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.012642465417242068
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.03007402592708869
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,0.04171881933315719
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,0.9821990500663973
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,0.14303574693270354
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.9461091357180103
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.4071259476704938
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.5485515169042058
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.9471412947172743
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.9503073274682945
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.016541350554027348
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.16206809073818468
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.020305336385309167
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.9356091452570282
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.29243307719460665
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.5744853109542436
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.26011947407109226
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.9729504481304335
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.9184352055007293
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.7332853077771503
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.23556434264372603
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.8000996147401184
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.734081918499116
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.7373410817503562
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,0.1501789689897079
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.006853309319059616
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.02542665934945385
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3,0.010873913941342375
22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3,0.011603180079003213
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.5581839856252341
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.9453487899267823
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.013429747513097692
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.016526389544660628
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2,0.466385340717799
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.2105129337377554
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.18200382675116772
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.0042682658540656145
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2,0.030426656315320717
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.05244463118744566
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.9728443328718358
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.6989208439063559
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.4057374807333694
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.7956503658277101
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.30939244289426204
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4,0.2148066172316539
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.1242292676503513
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.4685249417943546
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.1273479721604814
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.003597389387805347
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.5128972705629388
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.006012961694839876
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.048758590945444616
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.04249891135550083
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2,0.0060123104788627245
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.010549086966627801
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.9750370748231266
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4,0.9646962996910381
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.25564657404059665
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.43017184620663745
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0.17990194769157658
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0.22270818668614692
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0.7894164333636088
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0.38922046806815386
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0.017192995992654517
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,0.8423004351631453
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0.06408418239205745
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0.8878340028185665
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0.37964260984598386
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.011968101280683355
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.01200799809563634
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,0.3859106740138295
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4,0.7829055538318992
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,0.8086598699077947
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,0.9378088667981654
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,0.9679244911607087
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,0.9012886916968315
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,0.2923387743778425
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,0.4144111146474954
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0.015450013819601146
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0.009461688824440467
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,0.027274187782644416
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0.008987587400032375
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,0.011041620739935608
23,15000,OWN,7.0,MEDICAL,B,4475,,1,0.3,N,4,0.24659145893675427
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,0.738302737906039
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,0.9098405807800705
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,0.3503107878292715
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,0.8717887455255177
